Título,Data de Lançamento,Visão Geral,Votos,Média de Votos
Breaking Bad: A Química do Mal,2008-01-20,"Ao saber que tem câncer, um professor passa a fabricar metanfetamina pelo futuro da família, mudando o destino de todos.",14891,8.9
DAN DA DAN,2024-10-04,"Esta é uma história sobre Momo, uma garota do ensino médio que vem de uma família de médiuns espirituais, e seu colega de classe Okarun, um garoto fanático pelo ocultismo. Depois que Momo resgata Okarun de uns valentões, eles começam a conversar... No entanto, surge uma discussão entre eles, já que Momo acredita em fantasmas, mas nega a existência de alienígenas, e Okarun acredita em alienígenas, mas nega a existência de fantasmas. Visando provar que o que acreditam é real, Momo vai a um hospital abandonado onde um OVNI foi avistado e Okarun vai a um túnel que dizem ser assombrado. Para surpresa deles, cada um se depara com atividades paranormais avassaladoras que transcendem a compreensão. Em meio a isso tudo, Momo desperta seu poder oculto e Okarun ganha o poder de uma maldição para superar esses novos perigos! Será que o amor deles destinado também começa aqui!?",369,8.8
Hotel Hazbin,2024-01-18,"Charlie Morningstar, a Princesa do Inferno, tem dificuldades para convencer anjos e demônios de que toda alma pode ser redimida. Cante e xingue junto nessa comédia animada e musical para maiores sobre segundas chances.",1206,8.802
Arcane,2021-11-06,"Em meio ao conflito entre as cidades-gêmeas de Piltover e Zaun, duas irmãs lutam em lados opostos de uma guerra entre tecnologias mágicas e convicções incompatíveis.",4802,8.8
Frieren e a Jornada para o Além,2023-09-29,"Após uma missão de 10 anos ao lado do herói Himmel e seu grupo, a poderosa maga Frieren derrotou o Rei Demônio e trouxe paz ao reino. Como uma elfa, Frieren tem uma vida de mais de mil anos pela frente. Ela promete retornar para seus amigos e, assim, parte em uma jornada solitária. 50 anos se passam quando Frieren finalmente volta para visitar Himmel e os outros. Embora ela não tenha envelhecido nada, seus amigos têm pouco tempo de vida restante. É então que Frieren testemunha a morte de Himmel, o que a leva a lamentar não ter passado mais tempo junto dele. Com esse arrependimento em seu coração, ela embarca em uma nova jornada com o objetivo de se conectar e conhecer melhor as pessoas. Ao longo dessa viagem, a elfa Frieren encontrará diversas pessoas e viverá incontáveis aventuras emocionantes!",370,8.777
"Vinte e Cinco, Vinte e Um",2022-02-12,"Em uma época de crise, uma esgrimista adolescente vai atrás de seu grande sonho e conhece um jovem esforçado que quer reconstruir a vida.",218,8.8
Diários de uma Apotecária,2023-10-22,"Maomao levava uma vida tranquila ao lado de seu pai, um boticário renomado. No entanto, sua vida muda da noite pro dia quando ela é vendida como uma simples serva no palácio do imperador. Incapaz de se adaptar à vida na realeza, Maomao decide tomar medidas drásticas quando os herdeiros imperiais adoecem, embarcando numa missão para encontrar a cura. Sua audácia chama a atenção de Jinshi, um belo funcionário do palácio que decide apoiá-la. Agora, Maomao se envolve em intrigas médicas enquanto sua fama se espalha pelos corredores do palácio!",227,8.7
Avatar: A Lenda de Aang,2005-02-21,"Aang é um menino de 12 anos que descobre ser o Avatar, mestre responsável por garantir o equilíbrio entre os quatro elementos e suas respectivas nações, mantendo o planeta em paz.",4199,8.7
One Piece,1999-10-20,"Houve um homem que conquistou tudo aquilo que o mundo tinha a oferecer, o lendário Rei dos Piratas, Gold Roger. Capturado e condenado à execução pelo Governo Mundial, suas últimas palavras lançaram legiões aos mares. ""Meu tesouro? Se quiserem, podem pegá-lo. Procurem-no! Ele contém tudo que este mundo pode oferecer!"". Foi a revelação do maior tesouro, o One Piece, cobiçado por homens de todo o mundo, sonhando com fama e riqueza imensuráveis... Assim começou a Grande Era dos Piratas!",4765,8.7
Ninguém Vai Sentir Nossa Falta,2024-08-09,"Nos anos 90, cinco desajustados têm um negócio ilegal na escola de ensino médio. Eles vendem tarefas e trabalhos para os colegas. A vantagem deles é que ninguém suspeita de nerds. O negócio traz dinheiro e popularidade a eles. Mas hormônios e uma morte inesperada podem destruir tudo. Se o negócio se dissolver, o futuro e a amizade deles estarão em risco.",202,8.7
Fullmetal Alchemist: Brotherhood,2009-04-05,"Depois de perderem sua mãe, Alphonse e Edward Elric tentam trazê-la  de volta usando uma técnica de alquimia proíbida. Contudo, o princípio  básico da alquimia é a 'troca equivalente', e tentar ressucitar alguém  custa muito alto. Ed perde sua perna, e Al perde seu corpo. Ed consegue  selar a alma de Al dentro de uma grande armadura metálica, dando em  troca seu braço. Anos depois, Ed (com dois membros de metal) e Al (ainda  preso na armadura) deixam a sua cidade natal.Ed, que possui um talento  nato para a alquimia, se torna um alquimista com certificado nacional, e  logo passa a ser chamado de 'full metal alchemist'. Mas o verdadeiro  objetivo dos irmãos é encontrar a pedra filosofal, na esperança de  recuperarem os seus corpos originais. Logo eles descobrem que essa  mística pedra, que pode nem existir, é visada não só por eles, mas como  muitas outras pessoas também.",2105,8.695
Rick e Morty,2013-12-02,"Rick é um velho mentalmente desequilibrado, mas cientificamente talentoso que se reconectou recentemente com sua família. Ele passa a maior parte do tempo envolvendo o jovem neto Morty em aventuras perigosas e estranhas no espaço e em universos alternativos. Compostos à vida familiar já instável de Morty, esses eventos causam muito sofrimento a Morty em casa e na escola.",9901,8.7
Better Call Saul,2015-02-08,"Antes de se transformar no infame Saul Goodman, o advogado de Breaking Bad era mais inocente, mas não era santo.",5374,8.691
Chernobyl,2019-05-06,"Aqui é contada a história da explosão que aconteceu na Usina Nuclear de Chernobyl. Em 1986, na Ucrânia, o acidente dizimou dezenas de pessoas e acabou por se tornar o maior desastre nuclear da história. Enquanto o mundo lamentava o ocorrido, o cientista Valery Legasov (Jared Harris), a física Ulana Khomyuk (Emily Watson) e o vice-presidente do Conselho de Ministros Boris Shcherbina (Stellan Skarsgård) tentam descobrir as causas do acidente.",6508,8.682
