id,produto,quantidade,preco,data
134,Home theater,8,705.59,01/01/2023
179,Geladeira,2,361.35,02/01/2023
119,Tablet,4,223.0,04/01/2023
189,Geladeira,7,4456.08,06/01/2023
103,Churrasqueira elétrica,4,827.07,08/01/2023
107,Roteador Wi-Fi,3,2021.49,10/01/2023
148,Máquina de lavar,9,1374.12,11/01/2023
123,Mouse,7,1947.68,13/01/2023
174,Teclado,5,4225.52,15/01/2023
137,Geladeira,5,4542.11,17/01/2023
187,Bicicleta,4,726.45,19/01/2023
145,Airfryer,1,2428.83,20/01/2023
140,Impressora,4,4108.23,22/01/2023
127,Mouse,6,4319.87,24/01/2023
108,Home theater,10,904.77,26/01/2023
121,Teclado,3,4283.03,28/01/2023
133,Drone,5,4362.07,30/01/2023
97,Teclado,8,2771.93,31/01/2023
162,Mouse,8,3755.75,02/02/2023
131,TV 4K,2,2326.76,04/02/2023
152,Grill,7,754.84,06/02/2023
157,Liquidificador,10,1011.28,08/02/2023
92,Ventilador,5,3195.51,09/02/2023
191,Home theater,4,2552.95,11/02/2023
185,Churrasqueira elétrica,9,4464.84,13/02/2023
154,Grill,6,3007.22,15/02/2023
160,Smartphone,8,1534.07,17/02/2023
122,Console de videogame,5,1991.97,19/02/2023
172,Drone,8,4395.01,20/02/2023
124,Drone,10,1533.02,22/02/2023
190,Churrasqueira elétrica,4,4741.93,24/02/2023
169,Grill,6,3366.3,26/02/2023
138,Grill,1,4733.15,28/02/2023
102,Câmera digital,5,2491.12,01/03/2023
113,Home theater,10,2201.65,03/03/2023
177,Notebook,3,4075.26,05/03/2023
115,Roteador Wi-Fi,8,4141.19,07/03/2023
200,Forno elétrico,6,4991.82,09/03/2023
175,Purificador de água,10,2740.5,11/03/2023
188,Cafeteira,6,1037.97,12/03/2023
178,Desumidificador,3,966.96,14/03/2023
110,Fogão,3,1742.33,16/03/2023
171,Ventilador,3,993.87,18/03/2023
93,Airfryer,10,589.71,20/03/2023
106,Teclado,2,4637.66,21/03/2023
158,Aspirador de pó,5,3647.61,23/03/2023
161,Desumidificador,7,4745.53,25/03/2023
199,Máquina de lavar,9,1590.47,27/03/2023
150,TV 4K,2,1668.63,29/03/2023
163,Teclado,6,3651.12,31/03/2023
